Time(DD/MM/YYYY H:mm:ss),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
2026-01-16 00:04:19,1000,15.6,71,995.3
2026-01-16 00:09:19,1003,15.5,71,995.4
2026-01-16 00:14:19,1004,15.4,71,995.4
2026-01-16 00:19:19,996,15.4,71,995.6
2026-01-16 00:24:19,993,15.3,72,995.6
2026-01-16 00:29:19,979,15.2,71,995.8
2026-01-16 00:34:19,968,15.1,72,995.8
2026-01-16 00:39:19,979,15.0,72,995.9
2026-01-16 00:44:19,972,14.9,72,996.0
2026-01-16 00:49:19,991,14.9,72,996.2
2026-01-16 00:54:19,1010,14.9,73,996.2
2026-01-16 00:59:19,1050,14.9,73,996.3
2026-01-16 01:04:19,1018,14.9,73,996.2
2026-01-16 01:09:19,1029,14.8,74,996.3
2026-01-16 01:14:19,1058,14.8,74,996.4
2026-01-16 01:19:19,1049,14.8,74,996.5
2026-01-16 01:24:19,1054,14.8,74,996.6
2026-01-16 01:29:19,1033,14.8,74,996.7
2026-01-16 01:34:19,1089,14.7,75,996.7
2026-01-16 01:39:19,1094,14.8,75,996.8
2026-01-16 01:44:19,1086,14.7,75,997.1
2026-01-16 01:49:19,1102,14.8,75,997.0
2026-01-16 01:54:19,1093,14.8,75,997.0
2026-01-16 01:59:19,1088,14.7,75,997.2
2026-01-16 02:04:19,1089,14.7,75,997.1
2026-01-16 02:09:19,1180,14.7,76,997.3
2026-01-16 02:14:19,1099,14.7,75,997.3
2026-01-16 02:19:19,1076,14.6,75,997.5
2026-01-16 02:24:19,1086,14.5,75,997.4
2026-01-16 02:29:19,1053,14.4,75,997.5
2026-01-16 02:34:19,1062,14.3,75,997.5
2026-01-16 02:39:19,1025,14.2,75,997.4
2026-01-16 02:44:19,1027,14.0,75,997.5
2026-01-16 02:49:19,1046,14.1,76,997.4
2026-01-16 02:54:19,1003,14.0,75,997.5
2026-01-16 02:59:19,991,14.0,75,997.4
2026-01-16 03:04:19,1037,13.9,75,997.5
2026-01-16 03:09:19,1008,13.9,75,997.4
2026-01-16 03:14:19,1029,13.9,75,997.4
2026-01-16 03:19:19,1005,13.9,75,997.5
2026-01-16 03:24:19,1011,13.7,75,997.6
2026-01-16 03:29:19,1020,13.7,76,997.4
2026-01-16 03:34:19,993,13.6,76,997.3
2026-01-16 03:39:19,1002,13.6,76,997.2
2026-01-16 03:44:19,986,13.6,76,997.3
2026-01-16 03:49:19,1042,13.7,76,997.4
2026-01-16 03:54:19,1054,13.8,77,997.4
2026-01-16 03:59:19,1035,13.7,76,997.6
2026-01-16 04:04:19,1014,13.6,76,997.7
2026-01-16 04:09:19,998,13.6,77,997.7
2026-01-16 04:14:19,968,13.5,76,997.8
2026-01-16 04:19:19,1003,13.5,77,997.9
2026-01-16 04:24:19,972,13.4,77,997.9
2026-01-16 04:29:19,984,13.4,77,997.9
2026-01-16 04:34:19,979,13.5,77,997.9
2026-01-16 04:39:19,921,13.5,76,998.0
2026-01-16 04:44:19,931,13.3,76,997.9
2026-01-16 04:49:19,953,13.4,77,997.9
2026-01-16 04:54:19,997,13.4,77,997.9
2026-01-16 04:59:19,1036,13.4,77,998.0
2026-01-16 05:04:19,1008,13.5,77,998.0
2026-01-16 05:09:19,1032,13.5,78,998.1
2026-01-16 05:14:19,1062,13.5,78,998.3
2026-01-16 05:19:19,1011,13.6,78,998.4
2026-01-16 05:24:19,1037,13.5,78,998.3
2026-01-16 05:29:19,1084,13.6,78,998.4
2026-01-16 05:34:19,1043,13.6,78,998.5
2026-01-16 05:39:19,1077,13.6,78,998.4
2026-01-16 05:44:19,1092,13.6,78,998.5
2026-01-16 05:49:19,1090,13.6,78,998.8
2026-01-16 05:54:19,1090,13.7,78,998.7
2026-01-16 05:59:19,1082,13.6,78,998.7
2026-01-16 06:04:19,1066,13.6,78,998.6
2026-01-16 06:09:19,1016,13.5,77,998.5
2026-01-16 06:14:19,1011,13.5,77,998.7
2026-01-16 06:19:19,1084,13.5,78,998.7
2026-01-16 06:24:19,1089,13.6,78,998.6
2026-01-16 06:29:19,1140,13.6,78,998.9
2026-01-16 06:34:19,1146,13.7,79,998.7
2026-01-16 06:39:19,1044,13.6,78,998.8
2026-01-16 06:44:19,1112,13.6,78,998.8
2026-01-16 06:49:19,1022,13.5,77,998.7
2026-01-16 06:54:19,1090,13.5,78,998.8
2026-01-16 06:59:19,1132,13.6,78,998.8
2026-01-16 07:04:19,1187,13.6,78,998.9
2026-01-16 07:09:19,1186,13.7,79,999.0
2026-01-16 07:14:19,1140,13.7,79,999.2
2026-01-16 07:19:19,1168,13.7,79,999.1
2026-01-16 07:24:19,1206,13.8,79,999.1
2026-01-16 07:29:19,1231,13.8,79,999.2
