Time(DD/MM/YYYY H:mm),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
26/10/2025 09:03,994,17.5,67,1012.6
26/10/2025 09:08,919,17.4,67,1012.5
26/10/2025 09:13,832,17.4,67,1012.6
26/10/2025 09:18,706,17.4,66,1012.8
26/10/2025 09:23,648,17.4,65,1012.8
26/10/2025 09:28,638,17.4,65,1012.7
26/10/2025 09:33,615,17.4,65,1012.6
26/10/2025 09:38,612,17.4,64,1012.7
26/10/2025 09:43,621,17.4,64,1012.6
26/10/2025 09:48,614,17.5,64,1012.6
26/10/2025 09:53,627,17.5,64,1012.7
26/10/2025 09:58,622,17.6,64,1012.6
26/10/2025 10:03,628,17.6,64,1012.4
26/10/2025 10:08,644,17.6,64,1012.4
26/10/2025 10:13,644,17.6,64,1012.5
26/10/2025 10:18,634,17.6,64,1012.5
26/10/2025 10:23,649,17.6,64,1012.4
26/10/2025 10:28,642,17.6,64,1012.4
26/10/2025 10:33,654,17.7,64,1012.4
26/10/2025 10:38,654,17.7,63,1012.4
26/10/2025 10:43,650,17.9,63,1012.4
26/10/2025 10:48,668,17.9,63,1012.2
26/10/2025 10:53,676,17.9,63,1012.3
26/10/2025 10:58,675,17.9,63,1012.4
26/10/2025 11:03,675,17.9,63,1012.4
26/10/2025 11:08,676,17.9,63,1012.5
26/10/2025 11:13,679,17.9,63,1012.4
26/10/2025 11:18,671,17.9,63,1012.4
26/10/2025 11:23,674,17.9,62,1012.3
26/10/2025 11:28,674,17.9,63,1012.4
26/10/2025 11:33,668,17.9,62,1012.2
26/10/2025 11:38,667,17.9,62,1012.1
26/10/2025 11:43,667,17.9,62,1012.1
26/10/2025 11:48,659,18,62,1012.2
26/10/2025 11:53,639,18,62,1012.2
26/10/2025 11:58,642,17.9,62,1011.9
26/10/2025 12:03,655,17.9,62,1011.8
26/10/2025 12:08,677,17.9,62,1011.8
26/10/2025 12:13,684,17.9,62,1011.8
26/10/2025 12:18,691,17.8,62,1011.7
26/10/2025 12:23,701,17.8,62,1011.7
26/10/2025 12:28,685,17.8,62,1011.8
26/10/2025 12:33,702,17.8,62,1011.6
26/10/2025 12:38,688,17.7,62,1011.6
26/10/2025 12:43,687,17.7,62,1011.6
26/10/2025 12:48,689,17.7,62,1011.5
26/10/2025 12:53,696,17.7,62,1011.5
26/10/2025 12:58,703,17.7,62,1011.3
26/10/2025 13:03,696,17.7,62,1011.3
26/10/2025 13:08,701,17.7,62,1011.3
26/10/2025 13:13,614,18.3,61,1011.8
26/10/2025 13:18,565,18.3,60,1011.8
26/10/2025 13:23,560,18.1,58,1011.6
26/10/2025 13:28,471,17.2,57,1011.6
26/10/2025 13:33,927,17.6,64,1012.8
26/10/2025 13:38,876,18.9,67,1006
26/10/2025 13:43,859,20,67,1006.1
26/10/2025 13:48,645,20.6,56,1000.9
26/10/2025 13:53,1111,20.9,57,1000.7
26/10/2025 13:58,1261,21.2,58,1000.6
26/10/2025 14:03,1296,21.4,57,1000.4
26/10/2025 14:08,1310,21.6,57,1000.5
26/10/2025 14:13,1308,21.8,57,1000.3
26/10/2025 14:18,1319,22,56,1000.2
26/10/2025 14:23,1354,22.1,56,1000.2
26/10/2025 14:28,1344,22.2,56,1000.1
26/10/2025 14:33,1343,22.3,56,999.9
26/10/2025 14:38,1343,22.4,55,999.9
26/10/2025 14:43,1321,22.5,55,999.9
26/10/2025 14:48,1350,22.6,55,999.7
26/10/2025 14:53,1352,22.6,55,999.5
26/10/2025 14:58,1364,22.8,54,999.4
26/10/2025 15:03,1374,22.8,54,999.1
26/10/2025 15:08,1371,22.9,54,999.1
26/10/2025 15:13,1384,23,54,999
26/10/2025 15:18,1379,23,54,999
26/10/2025 15:23,1374,23,53,999
26/10/2025 15:28,1361,23.1,53,999
26/10/2025 15:33,1339,23.1,53,998.8
26/10/2025 15:38,1322,23.1,53,998.7
26/10/2025 15:43,639,22.9,50,998.8
26/10/2025 15:48,466,20.7,50,998.5
26/10/2025 15:53,705,18.9,61,1003.3
26/10/2025 15:58,778,20,67,1004.8
26/10/2025 16:03,773,21.1,70,1010.2
26/10/2025 16:08,599,21.1,63,1008.8
26/10/2025 16:13,589,20.2,60,1008.7
26/10/2025 16:18,570,19.6,60,1008.6
26/10/2025 16:23,574,19.1,60,1008.5
26/10/2025 16:28,555,18.8,60,1008.3
26/10/2025 16:33,567,18.6,60,1008.2
26/10/2025 16:38,549,18.4,60,1008.2
26/10/2025 16:43,563,18.2,60,1008.2
26/10/2025 16:48,548,18.1,60,1008.1
26/10/2025 16:53,562,17.9,60,1008
