Time(H:mm:ss),Carbon dioxide(ppm)
7:12:21,461.53846153846143
7:18:10,461.53846153846143
7:27:27,476.9230769230769
7:37:55,484.6153846153845
7:49:32,546.1538461538461
8:9:18,707.6923076923076
8:18:36,776.9230769230769
8:29:3,853.8461538461537
8:39:31,907.6923076923076
8:48:49,861.5384615384614
8:58:7,730.7692307692307
9:8:34,692.3076923076923
9:19:2,653.8461538461537
9:32:59,646.1538461538461
9:38:47,646.1538461538461
9:52:44,653.8461538461537
10:3:12,653.8461538461537
10:19:28,738.4615384615383
10:27:36,799.9999999999999
10:38:4,846.1538461538461
10:46:12,853.8461538461537
10:58:59,884.6153846153845
11:8:17,961.5384615384614
11:18:44,753.8461538461537
11:24:33,661.5384615384614
11:33:51,607.6923076923075
11:43:9,607.6923076923075
11:52:27,584.6153846153845
12:4:4,561.5384615384614
12:12:12,561.5384615384614
12:22:40,569.230769230769
12:34:17,576.9230769230769
12:43:35,707.6923076923076
12:52:53,776.9230769230769
13:3:20,799.9999999999999
13:12:38,823.0769230769229
13:21:56,846.1538461538461
13:33:34,823.0769230769229
13:39:22,738.4615384615383
13:44:1,692.3076923076923
13:49:50,646.1538461538461
13:53:19,623.076923076923
13:57:58,676.9230769230768
14:2:37,761.5384615384614
14:8:26,799.9999999999999
14:17:43,823.0769230769229
14:28:11,861.5384615384614
14:37:29,884.6153846153845
14:44:27,892.3076923076922
14:49:6,930.7692307692308
14:58:24,892.3076923076922
15:3:3,761.5384615384614
15:13:31,661.5384615384614
15:22:49,623.076923076923
15:33:16,599.9999999999999
15:42:34,592.3076923076923
15:54:11,569.230769230769
16:3:29,530.7692307692306
16:16:16,515.3846153846154
