Time(H:mm:ss),Carbon dioxide(ppm)
0:14:24,725.2
0:1:12,734.2
0:7:12,743.2
0:14:38,752.2
0:23:17,761.2
0:23:46,770.2
0:20:24,779.2
0:18:58,795.4
0:19:55,811.6
0:29:46,836.8
0:30:29,867.4
0:32:10,880.0
0:39:50,890.8
0:50:38,901.6
0:40:19,910.6
0:53:31,923.2
0:54:0,941.2
0:53:2,959.2
1:5:31,982.6
1:0:29,1002.4000000000001
1:8:24,1034.8
1:5:46,1065.4
1:15:50,1087.0
1:17:2,1108.6
1:17:46,1123.0
1:25:55,1139.2
1:19:55,1153.6
1:32:10,1171.6
1:36:14,1193.2
1:31:41,1213.0
1:46:5,1229.2
1:41:2,1241.8000000000002
1:39:7,1254.4
1:40:5,1267.0
1:45:50,1285.0
1:49:41,1303.0
1:55:41,1321.0
1:59:17,1339.0
1:59:31,1360.6
2:9:7,1382.2
2:13:41,1400.2
2:20:10,1416.4
2:20:10,1430.8000000000002
2:30:0,1447.0
2:18:14,1457.8000000000002
2:20:53,1472.2
2:32:53,1490.2
2:29:31,1504.6
2:29:31,1524.4
2:36:58,1542.4
2:36:0,1558.6
2:44:38,1574.8000000000002
2:50:24,1592.8000000000002
2:53:2,1610.8000000000002
2:55:41,1627.0
2:53:17,1643.2
3:2:10,1659.4
3:1:55,1681.0
3:7:41,1699.0
3:11:31,1711.6
3:13:12,1724.2
3:18:14,1738.6000000000001
3:23:31,1763.8
3:25:41,1796.2
3:30:14,1821.4
3:29:31,1835.8
3:42:29,1848.4
3:30:14,1857.4
3:37:55,1868.2
3:39:36,1879.0
3:48:43,1895.2
3:52:19,1911.4
3:48:29,1924.0
3:58:48,1940.2
4:7:26,1952.8
4:0:43,1960.0
4:4:34,1969.0
3:59:2,1978.0
4:15:36,1988.8
4:7:26,1997.8
4:15:22,2006.8
4:29:17,2023.0
4:26:53,2039.2
4:30:58,2055.4
4:37:26,2080.6000000000004
4:36:58,2098.6000000000004
4:41:17,2120.2
4:42:29,2134.6000000000004
4:48:58,2147.2
4:47:59,2158.0
4:54:14,2168.8
4:50:38,2179.6000000000004
4:46:48,2190.4
4:57:50,2201.2
4:55:12,2210.2
5:7:26,2219.2
5:3:36,2226.4
5:14:24,2244.4
5:11:46,2257.0
5:34:19,2271.4
5:24:0,2287.6000000000004
5:21:22,2300.2
5:26:38,2312.8
5:22:34,2321.8
5:46:48,2330.8
5:34:5,2338.0
5:42:14,2348.8
5:51:50,2359.6000000000004
5:53:17,2370.4
5:49:55,2386.6000000000004
5:59:46,2402.8
6:6:14,2417.2
6:3:36,2429.8
6:1:41,2440.6000000000004
6:10:5,2451.4
5:59:31,2460.4
6:10:34,2469.4
6:18:14,2478.4
6:25:12,2489.2
6:31:55,2505.4
6:41:31,2521.6000000000004
6:22:5,2530.6000000000004
6:32:38,2539.6000000000004
6:46:34,2548.6000000000004
6:36:58,2555.8
6:40:5,2564.8
6:37:41,2575.6000000000004
6:47:46,2590.0
6:48:14,2602.6000000000004
7:44:53,2615.2
7:41:46,2622.4
6:54:14,2627.8
6:52:5,2633.2
7:27:22,2638.6000000000004
7:1:26,2642.2
7:35:59,2647.6000000000004
7:0:29,2651.2
7:32:10,2656.6000000000004
7:16:5,2660.2
7:49:55,2665.6000000000004
7:28:19,2669.2
7:52:34,2674.6000000000004
7:12:14,2678.2
7:11:31,2683.6000000000004
7:48:43,2690.8
7:53:17,2699.8
7:19:55,2717.8
