Time2(DD/MM/YYYY H:mm:ss),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
"22/01/2026 0:08:24","490","17.6","54","981.6"
"22/01/2026 0:13:24","487","17.6","54","981.5"
"22/01/2026 0:18:24","488","17.6","54","981.5"
"22/01/2026 0:23:24","492","17.6","54","981.5"
"22/01/2026 0:28:24","485","17.6","54","981.5"
"22/01/2026 0:33:24","488","17.6","54","981.6"
"22/01/2026 0:38:24","482","17.5","54","981.6"
"22/01/2026 0:43:24","498","17.6","54","981.5"
"22/01/2026 0:48:24","479","17.5","54","981.6"
"22/01/2026 0:53:24","487","17.5","55","981.6"
"22/01/2026 0:58:24","490","17.5","55","981.6"
"22/01/2026 1:03:24","479","17.5","55","981.5"
"22/01/2026 1:08:24","484","17.4","55","981.5"
"22/01/2026 1:13:24","484","17.5","55","981.5"
"22/01/2026 1:18:24","487","17.5","55","981.6"
"22/01/2026 1:23:24","489","17.4","55","981.5"
"22/01/2026 1:28:24","491","17.4","54","981.4"
"22/01/2026 1:33:24","500","17.4","55","981.5"
"22/01/2026 1:38:24","484","17.4","55","981.5"
"22/01/2026 1:43:24","486","17.4","55","981.6"
"22/01/2026 1:48:24","485","17.4","55","981.5"
"22/01/2026 1:53:24","486","17.4","55","981.6"
"22/01/2026 1:58:24","467","17.4","55","981.6"
"22/01/2026 2:03:24","481","17.4","55","981.6"
"22/01/2026 2:08:24","479","17.4","55","981.6"
"22/01/2026 2:13:24","482","17.4","55","981.6"
"22/01/2026 2:18:24","488","17.4","55","981.5"
"22/01/2026 2:23:24","481","17.4","55","981.5"
"22/01/2026 2:28:24","486","17.4","55","981.5"
"22/01/2026 2:33:24","489","17.4","55","981.5"
"22/01/2026 2:38:24","487","17.4","55","981.5"
"22/01/2026 2:43:24","474","17.4","55","981.5"
"22/01/2026 2:48:24","488","17.4","55","981.6"
"22/01/2026 2:53:24","486","17.4","55","981.5"
"22/01/2026 2:58:24","481","17.4","55","981.6"
"22/01/2026 3:03:24","488","17.3","55","981.7"
"22/01/2026 3:08:24","492","17.4","55","981.6"
"22/01/2026 3:13:24","482","17.3","55","981.6"
"22/01/2026 3:18:24","477","17.3","55","981.7"
"22/01/2026 3:23:24","478","17.3","55","981.7"
"22/01/2026 3:28:24","494","17.3","55","981.6"
"22/01/2026 3:33:24","487","17.3","55","981.8"
"22/01/2026 3:38:24","481","17.3","55","981.6"
"22/01/2026 3:43:24","488","17.3","55","981.7"
"22/01/2026 3:48:24","491","17.3","55","981.6"
"22/01/2026 3:53:24","482","17.3","55","981.6"
"22/01/2026 3:58:24","474","17.3","55","981.7"
"22/01/2026 4:03:24","479","17.3","55","981.6"
"22/01/2026 4:08:24","487","17.3","55","981.6"
"22/01/2026 4:13:24","478","17.3","55","981.7"
"22/01/2026 4:18:24","476","17.3","55","981.6"
"22/01/2026 4:23:24","477","17.3","55","981.6"
"22/01/2026 4:28:24","472","17.3","55","981.7"
"22/01/2026 4:33:24","480","17.3","55","981.7"
"22/01/2026 4:38:24","484","17.3","55","981.7"
"22/01/2026 4:43:24","479","17.3","55","981.7"
"22/01/2026 4:48:24","485","17.3","55","981.7"
"22/01/2026 4:53:24","487","17.2","55","981.7"
"22/01/2026 4:58:24","480","17.2","55","981.8"
"22/01/2026 5:03:24","485","17.2","55","981.8"
"22/01/2026 5:08:24","477","17.2","55","981.7"
"22/01/2026 5:13:24","486","17.2","55","981.7"
"22/01/2026 5:18:24","483","17.2","55","981.7"
"22/01/2026 5:23:24","480","17.2","55","981.7"
"22/01/2026 5:28:24","479","17.2","55","981.6"
"22/01/2026 5:33:24","485","17.2","55","981.6"
"22/01/2026 5:38:24","480","17.2","55","981.7"
"22/01/2026 5:43:24","482","17.2","55","981.7"
"22/01/2026 5:48:24","492","17.1","55","981.6"
"22/01/2026 5:53:24","480","17.1","55","981.7"
"22/01/2026 5:58:24","475","17.1","55","981.7"
"22/01/2026 6:03:24","483","17.1","55","981.7"
"22/01/2026 6:08:24","484","17.1","55","981.7"
"22/01/2026 6:13:24","475","17.1","55","981.7"
"22/01/2026 6:18:24","481","17.1","55","981.6"
"22/01/2026 6:23:24","478","17.1","55","981.6"
"22/01/2026 6:28:24","488","17.1","55","981.7"
"22/01/2026 6:33:24","483","17.1","55","981.7"
"22/01/2026 6:38:24","482","17.1","55","981.7"
"22/01/2026 6:43:24","483","17.1","55","981.6"
"22/01/2026 6:48:24","484","17.1","55","981.6"
"22/01/2026 6:53:24","493","17.1","55","981.7"
"22/01/2026 6:58:24","488","17.1","55","981.7"
"22/01/2026 7:03:24","485","17.1","55","981.7"
"22/01/2026 7:08:24","502","17.1","55","981.6"
"22/01/2026 7:13:24","483","17.1","55","981.7"
"22/01/2026 7:18:24","488","17.1","55","981.7"
"22/01/2026 7:23:24","494","17.1","55","981.6"
"22/01/2026 7:28:24","487","17.1","55","981.5"
"22/01/2026 7:33:24","494","17.1","55","981.5"
"22/01/2026 7:38:24","494","17.1","55","981.8"
"22/01/2026 7:43:24","488","17.1","55","981.6"
"22/01/2026 7:48:24","494","17.1","55","981.7"
"22/01/2026 7:53:24","503","17.1","55","981.7"
"22/01/2026 7:58:24","500","17.1","55","981.7"
"22/01/2026 8:03:24","503","17.1","55","981.7"
"22/01/2026 8:08:24","496","17.1","55","981.7"
"22/01/2026 8:13:24","506","17.2","55","981.8"
"22/01/2026 8:18:24","489","17.2","55","981.8"
"22/01/2026 8:23:24","497","17.2","54","981.8"
"22/01/2026 8:28:24","490","17.2","55","981.8"
"22/01/2026 8:33:24","490","17.2","54","981.7"
"22/01/2026 8:38:24","503","17.2","54","981.9"
"22/01/2026 8:43:24","500","17.3","54","981.7"
"22/01/2026 8:48:24","510","17.3","54","981.8"
"22/01/2026 8:53:24","507","17.3","54","981.8"
"22/01/2026 8:58:24","502","17.3","54","981.8"
"22/01/2026 9:03:24","509","17.4","54","981.7"
"22/01/2026 9:08:24","502","17.4","54","981.8"
"22/01/2026 9:13:24","495","17.4","54","981.7"
"22/01/2026 9:18:24","509","17.4","54","981.8"
"22/01/2026 9:23:24","492","17.4","54","981.6"
"22/01/2026 9:28:24","505","17.4","54","981.7"
"22/01/2026 9:33:24","500","17.4","54","981.8"
"22/01/2026 9:38:24","497","17.4","54","981.8"
"22/01/2026 9:43:24","512","17.4","54","981.7"
"22/01/2026 9:48:24","512","17.4","54","981.7"
"22/01/2026 9:53:24","496","17.5","54","981.7"
"22/01/2026 9:58:24","505","17.5","54","981.7"
"22/01/2026 10:03:24","511","17.5","54","981.6"
"22/01/2026 10:08:24","498","17.6","54","981.6"
"22/01/2026 10:13:24","511","17.6","54","981.6"
"22/01/2026 10:18:24","505","17.6","54","981.6"
"22/01/2026 10:23:24","513","17.6","54","981.5"
"22/01/2026 10:28:24","512","17.7","54","981.5"
"22/01/2026 10:33:24","511","17.7","54","981.6"
"22/01/2026 10:38:24","507","17.7","54","981.5"
"22/01/2026 10:43:24","543","17.9","54","981.5"
"22/01/2026 10:48:24","559","18.3","54","981.6"
"22/01/2026 10:53:24","576","18.6","54","981.4"
"22/01/2026 10:58:24","589","18.8","54","981.4"
"22/01/2026 11:03:24","577","18.9","54","981.4"
"22/01/2026 11:08:24","610","19.1","53","981.4"
"22/01/2026 11:13:24","623","19.2","53","981.4"
"22/01/2026 11:18:24","636","19.3","53","981.4"
"22/01/2026 11:23:24","659","19.4","53","981.3"
"22/01/2026 11:28:24","668","19.5","53","981.4"
"22/01/2026 11:33:24","645","19.5","53","981.3"
"22/01/2026 11:38:24","635","19.7","53","981.2"
"22/01/2026 11:42:27","645","19.8","53","981.3"
"22/01/2026 11:47:27","635","19.9","53","981.2"
"22/01/2026 11:52:27","680","19.9","53","981.1"
